,City ID,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
104,286245,Sur,OM,22.57,59.53,84.07,27,0,12.21,1603042112
105,1505579,Inta,RU,66.03,60.17,28.04,97,99,10.45,1603042339
106,2630299,Hofn,IS,64.25,-15.21,42.8,70,75,12.75,1603042340
108,4414200,West Plains,US,36.73,-91.85,64.0,77,90,6.93,1603042340
110,748167,Devrek,TR,41.22,31.96,64.49,85,98,2.82,1603042340
111,4360369,Laurel,US,39.1,-76.85,64.99,51,40,8.05,1603042200
112,6180550,Whitehorse,CA,60.72,-135.05,12.2,78,75,11.41,1603042150
113,6148373,Sioux Lookout,CA,50.1,-91.92,32.0,86,90,9.17,1603042067
115,2112802,Hasaki,JP,35.73,140.83,51.8,93,20,8.05,1603042081
116,1507390,Dikson,RU,73.51,80.55,25.25,90,35,29.01,1603042156
117,1855891,Nakamura,JP,32.98,132.93,58.57,78,50,3.58,1603042340
118,5563839,Fortuna,US,40.6,-124.16,57.99,100,1,6.24,1603042080
119,1166164,Sanghar,PK,26.05,68.95,80.6,54,53,4.7,1603042341
122,1337607,Kudahuvadhoo,MV,2.67,72.89,83.03,78,33,14.36,1603042341
123,2013727,Vanavara,RU,60.34,102.28,37.92,92,100,13.56,1603042341
124,2129868,Iwanai,JP,42.97,140.51,49.55,77,34,5.5,1603042071
127,468991,Yarega,RU,63.44,53.58,31.24,96,100,4.97,1603042341
129,2022572,Khatanga,RU,71.97,102.5,7.25,86,11,8.16,1603042342
131,3994469,Ojinaga,MX,29.57,-104.42,84.99,25,1,4.7,1603042342
132,1185095,Teknāf,BD,20.86,92.31,79.77,82,100,4.41,1603042342
133,778707,Mehamn,NO,71.04,27.85,30.2,92,40,3.36,1603042326
135,108410,Riyadh,SA,24.69,46.72,77.0,22,0,3.36,1603042215
136,1802238,Loudi,CN,27.73,111.99,53.47,87,43,1.45,1603042342
138,2015306,Tiksi,RU,71.69,128.87,18.46,96,100,18.01,1603042339
142,569223,Cherepovets,RU,59.13,37.9,32.0,97,90,2.24,1603042175
143,777019,Vardø,NO,70.37,31.11,37.4,69,40,9.17,1603042343
145,3664980,Boa Vista,BR,2.82,-60.67,95.0,39,40,8.05,1603042343
146,3418910,Upernavik,GL,72.79,-56.15,33.91,89,27,7.38,1603042075
147,686090,Asău,RO,46.43,26.4,53.6,66,28,8.05,1603042343
148,7117880,Zarya,RU,55.76,38.1,37.99,86,75,8.95,1603042343
149,2121385,Severo-Kuril'sk,RU,50.68,156.12,45.63,82,31,11.88,1603042344
150,7671223,Kloulklubed,PW,7.04,134.26,82.4,78,75,9.17,1603042344
151,4513583,Hamilton,US,39.18,-84.53,53.01,76,90,3.36,1603042290
152,2655729,Bicester,GB,51.9,-1.15,51.8,87,90,1.12,1603042184
154,2120769,Talaya,RU,61.38,152.75,22.96,94,86,2.37,1603042344
156,2126123,Chokurdakh,RU,70.63,147.92,19.71,98,94,7.18,1603042344
157,64435,Berbera,SO,10.44,45.01,85.78,55,0,4.74,1603042138
158,293842,Kiryat Gat,IL,31.61,34.76,79.0,81,0,5.86,1603042344
160,2012956,Yerbogachën,RU,61.28,108.01,34.5,95,100,7.85,1603042345
161,5282297,Bethel,US,41.37,-73.41,60.01,51,75,9.17,1603042111
162,3520994,Puerto Escondido,MX,15.85,-97.07,87.8,62,20,4.7,1603042345
164,5314328,Sierra Vista,US,31.55,-110.3,81.0,11,1,3.36,1603042200
168,2522325,Agüimes,ES,27.91,-15.45,73.4,73,20,14.99,1603042345
170,57000,Hobyo,SO,5.35,48.53,80.08,80,7,21.07,1603042345
176,2019867,Mokhsogollokh,RU,61.47,128.92,10.38,95,68,5.26,1603042346
177,2729907,Longyearbyen,SJ,78.22,15.64,26.6,79,40,11.41,1603042346
178,2527087,Tiznit Province,MA,29.58,-9.5,72.64,32,100,3.09,1603042346
180,2324857,Pindiga,NG,9.98,10.93,95.0,39,20,3.91,1603042346
181,2374583,Bubaque,GW,11.28,-15.83,83.23,81,2,11.01,1603042346
182,2027042,Batagay-Alyta,RU,67.8,130.41,15.33,88,98,3.78,1603042347
183,3421765,Nanortalik,GL,60.14,-45.24,40.3,95,83,8.19,1603042347
184,1563281,Tuy Hoa,VN,13.08,109.3,77.0,87,100,6.22,1603042091
185,104515,Makkah al Mukarramah,SA,21.43,39.83,77.95,37,0,1.68,1603042347
186,3016824,Gaillac,FR,43.9,1.9,60.8,58,18,2.24,1603042347
189,5546220,Saint George,US,37.1,-113.58,64.4,17,1,0.87,1603042129
191,1855612,Nara,JP,34.69,135.8,55.99,85,29,1.66,1603042347
192,368246,Raja,SS,8.46,25.68,74.57,80,13,3.49,1603042347
193,4031742,Egvekinot,RU,66.32,-179.17,23.94,88,94,6.08,1603042347
194,2269142,Colares,PT,38.8,-9.45,66.99,52,18,8.05,1603042348
196,527529,Menzelinsk,RU,55.73,53.1,48.2,45,75,17.9,1603042348
198,2121025,Srednekolymsk,RU,67.45,153.68,22.48,98,90,4.09,1603042141
201,2012530,Zhigansk,RU,66.77,123.37,11.23,95,85,4.36,1603042080
202,5364271,Laguna,US,38.42,-121.42,75.2,33,1,3.36,1603042348
203,5710360,Winnemucca,US,40.97,-117.74,60.8,29,1,3.36,1603042276
204,2633274,Akureyri,IS,65.68,-18.09,41.0,93,90,17.22,1603042349
205,2126710,Beringovskiy,RU,63.05,179.32,34.38,85,69,5.79,1603042114
206,1511997,Aktash,RU,50.3,87.73,23.0,93,86,4.9,1603042349
207,527321,Mezen',RU,65.85,44.24,33.64,96,95,7.63,1603042349
208,5354943,Half Moon Bay,US,37.46,-122.43,77.0,72,1,8.05,1603042349
209,1819729,Hong Kong,HK,22.29,114.16,75.0,80,72,1.01,1603042070
210,2753354,Gemeente IJsselstein,NL,52.02,5.03,52.0,88,79,4.41,1603042349
211,5746545,Portland,US,45.52,-122.68,60.01,62,90,4.7,1603042068
212,4983905,Albion,US,42.24,-84.75,55.99,50,90,9.17,1603042349
213,3416888,Grindavik,IS,63.84,-22.43,42.8,87,40,25.28,1603042350
215,1162959,Umarkot,PK,25.36,69.74,89.22,55,56,6.8,1603042350
216,3995671,Mochicahui,MX,25.93,-108.93,91.99,59,5,3.27,1603042350
217,3374210,São Filipe,CV,14.9,-24.5,80.98,79,54,6.24,1603042350
218,2023226,Kamen'-Rybolov,RU,44.75,132.04,38.52,71,1,4.54,1603042350
219,3372964,Lagoa,PT,39.05,-27.98,62.96,62,67,16.42,1603042350
220,3981391,Tomatlán,MX,19.93,-105.25,90.75,57,70,3.69,1603042350
221,4315067,Ascension,US,30.22,-90.9,82.0,61,75,3.36,1603042350
222,2119283,Zyryanka,RU,65.75,150.85,19.35,92,79,2.26,1603042350
224,4111410,Fort Smith,US,35.39,-94.4,72.0,68,75,8.05,1603042086
227,1503153,Klyuchi,RU,52.27,79.17,36.05,76,0,9.1,1603042351
229,261814,Koutsouras,GR,35.03,25.95,75.99,74,100,5.01,1603042351
230,6201197,Muhafazat Lahij,YE,13.17,44.58,80.44,53,0,4.41,1603042351
231,476297,Vazhiny,RU,60.96,34.02,34.72,89,100,4.88,1603042351
233,5870133,Nome,US,64.5,-165.41,39.2,86,90,10.29,1603042352
234,1251081,Anuradhapura,LK,8.36,80.42,76.44,87,100,9.17,1603042352
236,2122090,Pevek,RU,69.7,170.31,23.54,94,30,16.64,1603042352
238,124291,Mehrān,IR,33.12,46.16,60.8,23,0,8.46,1603042352
240,1795632,Shenjiamen,CN,29.96,122.3,65.59,63,87,10.8,1603042352
243,3146487,Raudeberg,NO,61.99,5.14,41.0,75,95,5.82,1603042353
246,2324774,Port Harcourt,NG,4.78,7.01,87.8,62,75,5.82,1603042353
248,2264557,Ponta do Sol,PT,32.67,-17.1,73.4,83,75,21.92,1603042353
250,2018553,Ol'ga,RU,43.74,135.29,40.01,72,5,6.26,1603042353
252,2013279,Vostok,RU,46.49,135.88,22.84,93,1,3.62,1603042354
254,5554428,Ketchikan,US,55.34,-131.65,44.6,80,75,3.33,1603042328
255,3527795,Escárcega,MX,18.61,-90.75,93.18,43,28,1.88,1603042354
257,5887916,Athabasca,CA,54.72,-113.29,22.64,79,0,4.72,1603042354
258,5859699,College,US,64.86,-147.8,15.01,78,75,4.7,1603042080
259,515879,Oktyabr'skiy,RU,54.48,53.47,49.1,50,100,16.98,1603042354
260,1242110,Kalmunai,LK,7.42,81.82,80.35,81,99,2.86,1603042285
263,3374120,Vila do Maio,CV,15.13,-23.22,84.2,79,33,9.17,1603042355
264,1213855,Sibolga,ID,1.74,98.78,78.01,75,99,3.11,1603042161
265,5919850,Chapais,CA,49.78,-74.85,44.6,81,90,17.22,1603042355
266,3092472,Malbork,PL,54.04,19.03,42.01,89,64,5.99,1603042355
267,5117949,Freeport,US,40.66,-73.58,63.0,51,40,14.99,1603042109
270,2732516,Vila Praia de Âncora,PT,41.81,-8.85,70.0,59,99,2.24,1603042355
271,2012780,Zabaykal'sk,RU,49.63,117.32,36.1,83,26,9.73,1603042356
274,294117,Nahariya,IL,33.01,35.09,78.8,74,9,12.75,1603042356
277,5905393,Bonavista,CA,48.65,-53.11,51.01,81,48,5.01,1603042356
279,4945455,Norfolk,US,42.17,-71.25,62.01,41,73,11.41,1603042356
281,2270385,Camacha,PT,33.08,-16.33,71.6,88,40,16.11,1603042356
282,5847411,Kahului,US,20.89,-156.47,77.0,78,20,3.36,1603042357
283,4470244,Havelock,US,34.88,-76.9,75.0,77,37,7.72,1603042158
286,581049,Arkhangelsk,RU,64.54,40.54,33.8,92,90,8.95,1603042357
287,1496073,Orlik,RU,52.52,99.83,29.75,84,100,2.64,1603042357
288,5367788,Lompoc,US,34.64,-120.46,66.2,63,1,3.36,1603042099
290,3141332,Røros,NO,62.57,11.38,30.2,80,75,17.22,1603042357
296,2121909,Poronaysk,RU,49.22,143.12,34.72,77,1,12.24,1603042358
297,3792379,Santa Rosa del Sur,CO,7.96,-74.05,82.4,72,93,2.66,1603042358
298,3175788,Oga,IT,46.46,10.35,46.0,74,10,6.93,1603042358
299,5557293,Sitka,US,57.05,-135.33,42.8,60,90,3.36,1603042358
300,5134295,Rome,US,43.21,-75.46,59.0,35,1,12.75,1603042325
301,5924351,Clyde River,CA,70.47,-68.59,21.2,85,20,4.7,1603042358
302,2021093,Kuytun,RU,54.34,101.5,43.72,75,99,4.32,1603042358
303,1508427,Charyshskoye,RU,51.4,83.56,29.93,93,59,4.5,1603042358
304,3033123,Besançon,FR,47.25,6.02,46.0,100,88,2.91,1603042359
305,2638419,Scarborough,GB,54.28,-0.4,46.99,88,90,1.01,1603042359
306,1264323,Bhainsa,IN,26.95,76.9,80.96,18,0,6.06,1603042359
307,1185239,Mathbaria,BD,22.29,89.96,77.16,86,94,2.86,1603042359
308,1707108,Latung,PH,5.5,120.88,82.51,75,100,10.69,1603042359
310,7117100,Vila,PT,42.03,-8.16,66.2,59,92,2.24,1603042359
312,2450173,Taoudenni,ML,22.68,-3.98,89.76,16,0,8.05,1603042359
313,2212775,Sabha,LY,27.04,14.43,85.35,14,86,6.13,1603042359
314,116406,Semīrom,IR,31.42,51.57,36.63,63,0,4.14,1603042210
315,1691703,Rio Tuba,PH,8.51,117.43,81.64,76,64,8.99,1603042359
318,1521762,Kurchum,KZ,48.57,83.65,47.16,68,100,16.6,1603042360
319,359792,Aswān,EG,24.09,32.91,88.77,15,0,11.43,1603042360
320,1337606,Eydhafushi,MV,5.1,73.07,83.01,75,45,11.72,1603042360
321,2989569,Oloron-Sainte-Marie,FR,43.19,-0.61,62.6,55,4,4.7,1603042360
324,1214026,Sabang,ID,5.89,95.32,83.46,73,100,13.78,1603042360
325,5464806,Deming,US,32.27,-107.76,75.2,12,1,11.41,1603042360
326,1497549,Nizhneudinsk,RU,54.91,99.03,43.57,77,100,10.36,1603042360
327,1526041,Atasū,KZ,48.68,71.64,38.84,67,0,8.55,1603042360
328,3382160,Cayenne,GF,4.93,-52.33,89.6,59,40,9.17,1603042207
329,1717886,Caticlan,PH,11.93,121.96,82.85,78,93,9.84,1603042361
330,1494523,Polovinnoye,RU,54.79,65.99,34.65,82,29,9.04,1603042361
333,468030,Yelat'ma,RU,54.97,41.75,44.11,79,87,12.03,1603042361
335,727337,Sevlievo,BG,43.03,25.11,52.0,66,3,6.8,1603042361
336,2303611,Esim,GH,4.87,-2.24,77.79,87,74,8.57,1603042361
338,6541176,Agropoli,IT,40.35,15.0,57.0,83,0,1.01,1603042361
339,1261647,Nāwa,IN,27.02,75.0,81.27,16,34,8.3,1603042361
340,2629833,Husavik,IS,66.04,-17.34,41.0,93,90,17.22,1603042346
342,2757857,Dalen,NL,52.7,6.76,50.0,90,95,4.7,1603042362
343,6167817,Torbay,CA,47.67,-52.73,59.0,77,40,9.17,1603042362
344,1495626,Pangody,RU,65.85,74.49,24.39,97,57,12.82,1603042362
345,476252,Vedeno,RU,42.97,46.09,53.6,76,0,4.32,1603042362
347,174448,Abu Kamal,SY,34.45,40.92,74.34,22,0,6.67,1603042362
348,1798654,Pingxiang,CN,27.62,113.85,56.59,91,91,1.7,1603042362
350,2026023,Bukachacha,RU,52.98,116.92,30.79,96,72,2.21,1603042362
351,1797264,Quzhou,CN,28.96,118.87,58.46,92,100,5.44,1603042362
352,1512019,Aksarka,RU,66.56,67.8,22.1,96,50,9.71,1603042362
353,3489005,Port Antonio,JM,18.18,-76.46,82.4,74,75,19.46,1603042363
354,1736660,Kota Belud,MY,6.35,116.43,78.8,88,20,3.71,1603042169
355,5972291,Havre-St-Pierre,CA,50.23,-63.6,46.4,65,1,23.04,1603042363
356,1278931,Amalner,IN,21.05,75.07,80.67,80,36,3.62,1603042363
357,1847947,Shingū,JP,33.73,135.98,58.84,75,58,4.97,1603042118
360,1733432,Kota Kinabalu,MY,5.97,116.07,78.8,88,20,2.89,1603042363
363,2381334,Atar,MR,20.52,-13.05,97.27,17,0,10.22,1603042363
365,1262260,Nagapattinam,IN,10.77,79.83,77.58,78,93,5.93,1603042364
366,1516048,Khovd,MN,48.01,91.64,38.19,62,19,10.49,1603042364
367,2123814,Leningradskiy,RU,69.38,178.42,22.1,86,0,6.22,1603042364
369,2610343,Vestmanna,FO,62.16,-7.17,39.2,93,100,6.93,1603042364
370,3163146,Andenes,NO,69.31,16.12,39.2,69,75,16.11,1603042364
373,2227853,Mbengwi,CM,6.02,10.0,66.4,88,92,1.36,1603042364
374,1517637,Ushtobe,KZ,45.25,77.98,51.8,42,59,7.09,1603042364
375,478544,Uryupinsk,RU,50.8,42.01,59.0,67,14,8.08,1603042365
379,1349090,Harindānga,IN,22.04,88.32,84.2,83,40,4.7,1603042365
380,550902,Kez,RU,57.9,53.72,35.87,90,100,12.75,1603042365
381,6096551,Pangnirtung,CA,66.15,-65.71,44.6,56,90,14.99,1603042365
384,331259,Mēga,ET,4.05,38.3,63.66,74,22,5.73,1603042365
385,2253354,Dakar,SN,14.69,-17.44,87.8,74,0,6.93,1603042228
386,2264923,Peniche,PT,39.36,-9.38,64.0,77,53,11.01,1603042311
389,5505411,Henderson,US,36.04,-114.98,82.99,11,1,1.25,1603042134
390,3423146,Ilulissat,GL,69.22,-51.1,39.2,60,99,12.75,1603042366
391,2348892,Auchi,NG,7.07,6.27,78.84,74,51,1.01,1603042366
392,5972762,Hay River,CA,60.82,-115.8,24.8,68,75,9.17,1603042103
393,735736,Kilkis,GR,40.99,22.87,64.99,49,44,15.01,1603042366
394,2017912,Plastun,RU,44.76,136.29,38.73,78,18,5.79,1603042366
395,1791539,Wencheng,CN,33.06,113.8,56.01,52,12,1.74,1603042366
396,553766,Kamenka,RU,51.32,42.77,55.0,67,12,10.18,1603042366
397,110690,Faya,SA,18.39,42.45,69.8,13,0,9.17,1603042150
398,1529376,Korla,CN,41.76,86.15,47.43,49,0,0.85,1603042366
399,1529660,Aksu,CN,41.12,80.26,51.1,43,0,1.21,1603042367
400,3374083,Bathsheba,BB,13.22,-59.52,87.8,70,40,6.93,1603042367
401,1528998,Yumen,CN,40.28,97.2,44.8,43,68,15.52,1603042367
402,2122605,Okhotsk,RU,59.38,143.3,25.27,85,35,14.97,1603042367
405,260895,Karpathos,GR,35.51,27.21,77.0,83,20,4.7,1603042367
406,4273299,Hutchinson,US,38.06,-97.93,42.8,60,90,14.99,1603042267
407,1259385,Port Blair,IN,11.67,92.75,80.71,83,99,14.03,1603042367
408,6061979,Lumsden,CA,50.65,-104.87,25.0,49,90,17.22,1603042367
409,1529102,Ürümqi,CN,43.8,87.6,51.8,37,12,6.71,1603042205
413,138025,Dāmghān,IR,36.17,54.35,56.08,30,0,1.07,1603042368
415,361058,Alexandria,EG,31.22,29.96,77.0,69,0,9.17,1603042368
416,1624041,Ternate,ID,0.8,127.4,81.43,78,100,9.62,1603042368
418,305681,Kumluca,TR,36.37,30.29,74.28,69,10,2.42,1603042368
420,4726521,San Patricio,US,28.02,-97.52,89.01,48,20,14.99,1603042368
423,824050,Aran,AZ,40.63,46.98,59.0,93,0,4.7,1603042369
424,1857260,Mikuni,JP,36.22,136.15,53.6,81,75,3.36,1603042369
425,2922511,Garrel,DE,52.95,8.02,50.0,88,100,1.01,1603042369
426,2019488,Namtsy,RU,62.72,129.67,14.0,85,96,4.47,1603042369
427,556268,Ostrovnoy,RU,68.05,39.51,34.38,87,55,13.22,1603042369
429,3414079,Olafsvik,IS,64.89,-23.71,42.76,80,67,27.13,1603042369
431,578283,Spornoye,RU,50.84,37.29,42.8,75,51,13.42,1603042369
432,3628473,San Cristobal,VE,7.77,-72.22,93.2,36,40,21.92,1603042369
433,5975004,High Level,CA,58.52,-117.14,23.0,62,90,4.7,1603042148
436,5797693,Hoquiam,US,46.98,-123.89,60.01,77,90,14.99,1603042370
437,2667402,Trelleborg,SE,55.38,13.16,46.0,75,49,3.36,1603042370
438,2014836,Tupik,RU,54.43,119.93,20.23,96,66,1.61,1603042370
440,2412408,Nioro,GM,13.35,-15.75,92.37,45,11,1.68,1603042370
441,3139597,Sistranda,NO,63.73,8.83,42.8,70,40,23.04,1603042370
442,4946620,Palmer,US,42.16,-72.33,62.01,38,75,4.7,1603042370
444,2024626,Dzhebariki-Khaya,RU,62.22,135.8,17.04,95,100,2.89,1603042371
445,1855540,Naze,JP,28.37,129.48,75.2,94,90,19.46,1603042371
448,779622,Havøysund,NO,71.0,24.66,35.6,71,75,5.82,1603042371
450,1218612,Murgab,TM,37.5,61.97,60.8,41,0,4.7,1603042371
451,4100525,Batesville,US,35.77,-91.64,66.99,77,90,3.36,1603042204
452,5955902,Fort Nelson,CA,58.81,-122.7,12.2,78,5,5.82,1603042205
453,3628423,San Felipe,VE,10.34,-68.74,91.17,47,94,4.54,1603042371
454,5364022,La Palma,US,33.85,-118.05,75.0,69,20,5.28,1603042371
455,5882953,Aklavik,CA,68.22,-135.01,8.6,92,20,3.36,1603042372
456,1272517,Dirba,IN,30.07,75.98,72.66,22,0,2.95,1603042372
458,5983720,Iqaluit,CA,63.75,-68.51,32.0,95,90,8.05,1603042101
460,7601762,Bairiki Village,KI,1.33,172.98,80.6,74,20,10.29,1603042372
461,1674199,Yilan,TW,24.76,121.75,71.6,88,75,10.29,1603042372
463,3564124,Cienfuegos,CU,22.15,-80.44,84.2,74,75,9.17,1603042372
464,1488788,Tyubuk,RU,56.06,60.94,36.59,77,76,11.39,1603042162
466,545788,Kommunar,RU,59.62,30.39,35.6,90,90,4.47,1603042373
467,6137462,Saint-Augustin,CA,51.23,-58.65,56.16,46,25,12.24,1603042373
469,4021858,Guerrero Negro,MX,27.98,-114.06,81.9,46,11,8.16,1603042373
470,1513491,Yangi Marg`ilon,UZ,40.43,71.72,53.6,58,0,9.17,1603042373
471,1152562,Kui Buri,TH,12.08,99.85,73.42,91,98,5.59,1603042373
473,1490256,Talnakh,RU,69.49,88.4,17.6,85,90,6.71,1603042373
474,1140025,Herat Province,AF,34.5,62.0,48.87,46,0,10.67,1603042373
475,6942803,Caraquet,CA,47.79,-64.94,53.6,58,1,9.17,1603042374
477,5975503,Hinton,CA,53.4,-117.59,24.21,84,49,2.46,1603042374
479,2030065,Mandalgovi,MN,45.76,106.27,38.48,56,6,10.45,1603042374
480,2014694,Tyrma,RU,50.08,132.17,27.21,85,48,1.68,1603042374
481,2120612,Tigil',RU,57.8,158.67,36.25,90,100,11.12,1603042374
483,2112309,Katsuura,JP,35.13,140.3,57.2,76,40,8.05,1603042374
484,3707921,La Colorada,PA,8.02,-80.98,84.96,76,76,8.08,1603042375
486,2446267,Dakoro,NE,14.51,6.76,95.47,12,0,6.26,1603042375
487,5445298,Dodge City,US,37.75,-100.02,39.0,69,90,21.92,1603042353
488,2032201,Bulgan,MN,48.81,103.53,35.51,69,47,3.44,1603042375
489,3492997,Samaná,DO,19.21,-69.34,87.8,70,40,4.7,1603042130
490,5655240,Great Falls,US,47.5,-111.3,21.0,85,90,12.75,1603042375
491,2636638,Stromness,GB,58.97,-3.3,41.0,93,40,5.82,1603042375
493,1507873,Chik,RU,54.99,82.43,35.6,55,51,15.66,1603042375
494,2290412,Daoukro,CI,7.06,-3.96,76.01,87,73,1.23,1603042376
495,1821274,Macao,MO,22.2,113.55,75.2,78,40,13.87,1603042109
496,1687894,Santa Rosa,PH,14.31,121.11,80.6,88,40,2.24,1603042376
497,6453316,Tromsø,NO,69.65,18.96,32.0,81,40,10.29,1603042376
499,2460954,Araouane,ML,18.9,-3.53,98.65,11,0,10.27,1603042094
500,1787858,Shangrao,CN,28.45,117.97,58.87,94,100,2.48,1603042376
501,1177446,Gwadar,PK,25.12,62.33,81.63,25,0,17.25,1603042376
502,6171633,Ucluelet,CA,48.93,-125.55,54.0,100,90,2.24,1603042142
503,1731248,Alugan,PH,12.22,125.48,80.69,83,100,5.61,1603042376
504,5815539,West Lake Stevens,US,47.99,-122.1,54.0,93,90,11.41,1603042376
505,4031574,Provideniya,RU,64.38,-173.3,33.69,91,61,4.94,1603042376
506,1489499,Togur,RU,58.36,82.83,29.62,92,100,16.58,1603042377
508,5030005,Hibbing,US,47.43,-92.94,28.4,73,90,8.05,1603042377
509,1489209,Troitskoye,RU,52.98,84.68,33.33,88,50,8.28,1603042377
510,2021188,Kurumkan,RU,54.3,110.3,35.94,80,74,2.17,1603042377
511,2457161,Gao,ML,16.64,1.64,96.46,12,34,7.52,1603042377
512,3150742,Jørpeland,NO,59.02,6.04,44.6,65,20,11.41,1603042377
513,1214488,Meulaboh,ID,4.14,96.13,77.25,83,100,3.58,1603042143
515,1861280,Itoman,JP,26.12,127.67,77.0,83,20,16.11,1603042164
516,2032614,Baruun-Urt,MN,46.68,113.28,36.68,69,30,9.15,1603042378
